ファイル名,PyTorch結果,scikit-learn結果,一致
星光合否判定テスト_採点前_5_mosaic,01712115,01012115,False
星光合否判定テスト_採点前_48_mosaic,01822001,01232003,False
星光合否判定テスト_採点前_35_mosaic,01802103,01802107,False
星光合否判定テスト_採点前_44_mosaic,01813097,01813040,False
星光合否判定テスト_採点前_39_mosaic,01807698,01809698,False
星光合否判定テスト_採点前_9_mosaic,01727309,01929389,False
星光合否判定テスト_採点前_27_mosaic,01770477,01930499,False
星光合否判定テスト_採点前_11_mosaic,01743893,81843842,False
星光合否判定テスト_採点前_25_mosaic,01788334,01218334,False
星光合否判定テスト_採点前_46_mosaic,01815267,01215267,False
星光合否判定テスト_採点前_37_mosaic,01805167,01205160,False
星光合否判定テスト_採点前_7_mosaic,01721393,01821393,False
星光合否判定テスト_採点前_29_mosaic,01792986,01092888,False
星光合否判定テスト_採点前_13_mosaic,01749784,01929784,False
星光合否判定テスト_採点前_17_mosaic,01780565,01880965,False
星光合否判定テスト_採点前_33_mosaic,01801293,01801283,False
星光合否判定テスト_採点前_50_mosaic,01425887,01825887,False
星光合否判定テスト_採点前_3_mosaic,01691389,01691269,False
星光合否判定テスト_採点前_21_mosaic,01777903,01099903,False
星光合否判定テスト_採点前_42_mosaic,01812584,01812689,False
星光合否判定テスト_採点前_19_mosaic,01762808,01062808,False
星光合否判定テスト_採点前_15_mosaic,01956391,81436898,False
星光合否判定テスト_採点前_40_mosaic,01809137,01809139,False
星光合否判定テスト_採点前_23_mosaic,01786275,81986205,False
星光合否判定テスト_採点前_1_mosaic,01675362,01696363,False
星光合否判定テスト_採点前_31_mosaic,01793204,01993704,False
星光合否判定テスト_採点前_10_mosaic,01738873,01938883,False
星光合否判定テスト_採点前_34_mosaic,01801481,01701681,False
星光合否判定テスト_採点前_49_mosaic,61825410,81873910,False
星光合否判定テスト_採点前_4_mosaic,01707404,01703404,False
星光合否判定テスト_採点前_26_mosaic,01788514,01988519,False
星光合否判定テスト_採点前_8_mosaic,01714995,01711845,False
星光合否判定テスト_採点前_38_mosaic,01807247,01809349,False
星光合否判定テスト_採点前_45_mosaic,01813454,01813954,False
星光合否判定テスト_採点前_12_mosaic,01744189,01984783,False
星光合否判定テスト_採点前_47_mosaic,01816547,01818582,False
星光合否判定テスト_採点前_24_mosaic,01786480,01988480,False
星光合否判定テスト_採点前_28_mosaic,01481246,81861298,False
星光合否判定テスト_採点前_6_mosaic,81016796,01016096,False
星光合否判定テスト_採点前_36_mosaic,01804001,01804001,True
星光合否判定テスト_採点前_2_mosaic,01618450,01888450,False
星光合否判定テスト_採点前_32_mosaic,01801082,01201082,False
星光合否判定テスト_採点前_43_mosaic,01812792,01212888,False
星光合否判定テスト_採点前_20_mosaic,01773351,01803351,False
星光合否判定テスト_採点前_16_mosaic,01968399,61484378,False
星光合否判定テスト_採点前_22_mosaic,11786221,81986221,False
星光合否判定テスト_採点前_41_mosaic,01810355,01810335,False
星光合否判定テスト_採点前_30_mosaic,01797201,01092201,False
星光合否判定テスト_採点前_18_mosaic,01760999,01980989,False
星光合否判定テスト_採点前_14_mosaic,1179767?,8104488?,False
