filename,accurate,pytorch_result,pytorch_matches
星光合否判定テスト_採点前_1_mosaic,01675362,01675362,8
星光合否判定テスト_採点前_2_mosaic,01688450,01688450,8
星光合否判定テスト_採点前_3_mosaic,01696389,01696289,7
星光合否判定テスト_採点前_4_mosaic,01709404,01709404,8
星光合否判定テスト_採点前_5_mosaic,01712115,01712115,8
星光合否判定テスト_採点前_6_mosaic,01714796,01016046,4
星光合否判定テスト_採点前_7_mosaic,01721393,01721393,8
星光合否判定テスト_採点前_8_mosaic,01724995,01714495,6
星光合否判定テスト_採点前_9_mosaic,01727599,01927599,7
星光合否判定テスト_採点前_10_mosaic,01738873,01738893,7
星光合否判定テスト_採点前_11_mosaic,01743893,01743893,8
星光合否判定テスト_採点前_12_mosaic,01744289,01744289,8
星光合否判定テスト_採点前_13_mosaic,01749784,01749714,7
星光合否判定テスト_採点前_14_mosaic,01754761,01797611,4
星光合否判定テスト_採点前_15_mosaic,01756398,01956391,6
星光合否判定テスト_採点前_16_mosaic,01758349,61968349,5
星光合否判定テスト_採点前_17_mosaic,01760565,01980565,6
星光合否判定テスト_採点前_18_mosaic,01760999,01760999,8
星光合否判定テスト_採点前_19_mosaic,01762808,01762808,8
星光合否判定テスト_採点前_20_mosaic,01773351,01973351,7
星光合否判定テスト_採点前_21_mosaic,01777903,01777903,8
星光合否判定テスト_採点前_22_mosaic,01784221,11786221,6
星光合否判定テスト_採点前_23_mosaic,01786275,11786295,6
星光合否判定テスト_採点前_24_mosaic,01786480,01786480,8
星光合否判定テスト_採点前_25_mosaic,01788334,01788334,8
星光合否判定テスト_採点前_26_mosaic,01788514,01788514,8
星光合否判定テスト_採点前_27_mosaic,01790477,01790477,8
星光合否判定テスト_採点前_28_mosaic,01791246,01041246,6
星光合否判定テスト_採点前_29_mosaic,01792986,01992986,7
星光合否判定テスト_採点前_30_mosaic,01793201,01797201,7
星光合否判定テスト_採点前_31_mosaic,01793209,01793209,8
星光合否判定テスト_採点前_32_mosaic,01801082,01801082,8
星光合否判定テスト_採点前_33_mosaic,01801273,01801293,7
星光合否判定テスト_採点前_34_mosaic,01801481,01801481,8
星光合否判定テスト_採点前_35_mosaic,01802103,01802103,8
星光合否判定テスト_採点前_36_mosaic,01804001,01804001,8
星光合否判定テスト_採点前_37_mosaic,01805167,01805167,8
星光合否判定テスト_採点前_38_mosaic,01807247,01807247,8
星光合否判定テスト_採点前_39_mosaic,01807698,01807698,8
星光合否判定テスト_採点前_40_mosaic,01809137,01809137,8
星光合否判定テスト_採点前_41_mosaic,01810355,01810355,8
星光合否判定テスト_採点前_42_mosaic,01812584,01812584,8
星光合否判定テスト_採点前_43_mosaic,01812792,01812792,8
星光合否判定テスト_採点前_44_mosaic,01813097,01813097,8
星光合否判定テスト_採点前_45_mosaic,01813454,01813454,8
星光合否判定テスト_採点前_46_mosaic,01815267,01815267,8
星光合否判定テスト_採点前_47_mosaic,01816542,01816547,7
星光合否判定テスト_採点前_48_mosaic,01822001,01822001,8
星光合否判定テスト_採点前_49_mosaic,01825410,11825410,7
星光合否判定テスト_採点前_50_mosaic,01825887,01825847,7

pytorch_accuracy,0.915
perfect_accuracy,0.6
